x,y,T
0,0,132.192
0.1,0,130.465
0.2,0,128.674
0.3,0,127.179
0.4,0,126.033
0.5,0,125.302
0.6,0,121.119
0.7,0,117.944
0.8,0,115.793
0.9,0,114.562
1,0,114.163
-1,0.1,206.518
-0.9,0.1,180.228
-0.8,0.1,160.714
-0.7,0.1,147.255
-0.6,0.1,137.852
-0.5,0.1,130.964
-0.4,0.1,130.448
-0.3,0.1,130.134
-0.2,0.1,130.012
-0.1,0.1,130.029
0,0.1,129.967
0.1,0.1,128.982
0.2,0.1,127.677
0.3,0.1,126.385
0.4,0.1,125.251
0.5,0.1,124.382
0.6,0.1,119.371
0.7,0.1,115.839
0.8,0.1,113.567
0.9,0.1,112.306
1,0.1,111.902
-1,0.2,167.253
-0.9,0.2,159.299
-0.8,0.2,148.782
-0.7,0.2,139.729
-0.6,0.2,133.156
-0.5,0.2,129.88
-0.4,0.2,129.581
-0.3,0.2,129.28
-0.2,0.2,129.092
-0.1,0.2,128.958
0,0.2,128.663
0.1,0.2,127.82
0.2,0.2,126.666
0.3,0.2,125.435
0.4,0.2,124.203
0.5,0.2,122.795
0.6,0.2,116.142
0.7,0.2,112.474
0.8,0.2,110.331
0.9,0.2,109.192
1,0.2,108.835
-1,0.3,143.898
-0.9,0.3,140.931
-0.8,0.3,135.387
-0.7,0.3,129.723
-0.6,0.3,125.162
-0.5,0.3,122.282
-0.4,0.3,120.913
-0.3,0.3,120.115
-0.2,0.3,119.582
-0.1,0.3,119.144
0,0.3,118.637
0.1,0.3,117.908
0.2,0.3,116.989
0.3,0.3,115.933
0.4,0.3,114.692
0.5,0.3,112.974
0.6,0.3,109.928
0.7,0.3,107.584
0.8,0.3,106.091
0.9,0.3,105.297
1,0.3,105.052
-1,0.4,126.477
-0.9,0.4,125.14
-0.8,0.4,122.112
-0.7,0.4,118.613
-0.6,0.4,115.489
-0.5,0.4,113.174
-0.4,0.4,111.676
-0.3,0.4,110.684
-0.2,0.4,109.976
-0.1,0.4,109.399
0,0.4,108.832
0.1,0.4,108.187
0.2,0.4,107.448
0.3,0.4,106.616
0.4,0.4,105.659
0.5,0.4,104.481
0.6,0.4,103.013
0.7,0.4,101.844
0.8,0.4,101.151
0.9,0.4,100.852
1,0.4,100.78
-1,0.5,111.731
-0.9,0.5,111.04
-0.8,0.5,109.308
-0.7,0.5,107.127
-0.6,0.5,105.006
-0.5,0.5,103.249
-0.4,0.5,101.933
-0.3,0.5,100.969
-0.2,0.5,100.24
-0.1,0.5,99.6453
0,0.5,99.1034
0.1,0.5,98.5612
0.2,0.5,98.0007
0.3,0.5,97.4254
0.4,0.5,96.8448
0.5,0.5,96.2775
0.6,0.5,95.7986
0.7,0.5,95.6271
0.8,0.5,95.8165
0.9,0.5,96.1793
1,0.5,96.3654
-1,0.6,98.3682
-0.9,0.6,97.9795
-0.8,0.6,96.9533
-0.7,0.6,95.5823
-0.6,0.6,94.1581
-0.5,0.6,92.8825
-0.4,0.6,91.8393
-0.3,0.6,91.0183
-0.2,0.6,90.37
-0.1,0.6,89.8382
0,0.6,89.3756
0.1,0.6,88.9534
0.2,0.6,88.5677
0.3,0.6,88.2398
0.4,0.6,88.0179
0.5,0.6,87.9858
0.6,0.6,88.2768
0.7,0.6,89.0497
0.8,0.6,90.3091
0.9,0.6,91.6838
1,0.6,92.3226
-1,0.7,85.7826
-0.9,0.7,85.5569
-0.8,0.7,84.9434
-0.7,0.7,84.0907
-0.6,0.7,83.162
-0.5,0.7,82.2837
-0.4,0.7,81.5232
-0.3,0.7,80.8949
-0.2,0.7,80.3833
-0.1,0.7,79.9618
0,0.7,79.6073
0.1,0.7,79.309
0.2,0.7,79.0768
0.3,0.7,78.9484
0.4,0.7,79.0012
0.5,0.7,79.3711
0.6,0.7,80.2732
0.7,0.7,81.9858
0.8,0.7,84.6864
0.9,0.7,87.9243
1,0.7,89.5572
-1,0.8,73.6485
-0.9,0.8,73.5221
-0.8,0.8,73.1729
-0.7,0.8,72.675
-0.6,0.8,72.1154
-0.5,0.8,71.5671
-0.4,0.8,71.0747
-0.3,0.8,70.655
-0.2,0.8,70.3064
-0.1,0.8,70.0186
0,0.8,69.7828
0.1,0.8,69.5986
0.2,0.8,69.482
0.3,0.8,69.4757
0.4,0.8,69.6673
0.5,0.8,70.2243
0.6,0.8,71.4592
0.7,0.8,73.9337
0.8,0.8,78.5263
0.9,0.8,85.7699
1,0.8,90.0576
-1,0.9,61.7671
-0.9,0.9,61.71
-0.8,0.9,61.551
-0.7,0.9,61.3209
-0.6,0.9,61.0577
-0.5,0.9,60.7945
-0.4,0.9,60.5534
-0.3,0.9,60.3442
-0.2,0.9,60.1685
-0.1,0.9,60.0235
0,0.9,59.9067
0.1,0.9,59.8206
0.2,0.9,59.7769
0.3,0.9,59.8051
0.4,0.9,59.968
0.5,0.9,60.3995
0.6,0.9,61.4056
0.7,0.9,63.7637
0.8,0.9,69.7153
0.9,0.9,86.5713
1,0.9,99.1334
-1,1,50
-0.9,1,50
-0.8,1,50
-0.7,1,50
-0.6,1,50
-0.5,1,50
-0.4,1,50
-0.3,1,50
-0.2,1,50
-0.1,1,50
0,1,50
0.1,1,50
0.2,1,50
0.3,1,50
0.4,1,50
0.5,1,50
0.6,1,50
0.7,1,50
0.8,1,50
0.9,1,50
1,1,50
